algorithm,n_generations,n_states,n_signals,n_samples,threshold,util_gen2gen,util_gen2ground
LRPlayer,100,1000,2,200,0.5,0.9980100000000001,0.9915247524752474
LRPlayer,100,1000,2,200,0.5,0.9978899999999998,0.9753069306930692
LRPlayer,100,1000,2,200,0.5,0.9978199999999999,0.9820396039603958
LRPlayer,100,1000,2,200,0.5,0.9973599999999999,0.9808316831683168
LRPlayer,100,1000,2,200,0.5,0.9978999999999999,0.9913465346534652
LRPlayer,100,1000,2,200,0.5,0.9973999999999998,0.992039603960396
LRPlayer,100,1000,2,200,0.5,0.99787,0.993108910891089
LRPlayer,100,1000,2,200,0.5,0.9975700000000001,0.9937425742574257
LRPlayer,100,1000,2,200,0.5,0.9978599999999997,0.9921287128712871
LRPlayer,100,1000,2,200,0.5,0.9976099999999998,0.989851485148515
LRPlayer,100,1000,2,200,0.5,0.9977999999999999,0.9883762376237625
